-50301,27079
-1183738,570
294558,42517
-1002656,1353
-527391,8709
-169439,21699
-8615,29033
305282,42925
-623334,6347
317249,43370
-418702,11965
-999438,1379
-648878,5811
-138724,23102
-510191,9141
129234,35492
-987296,1469
-182527,21140
-387300,13078
-242703,18601
-133504,23339
-356629,14192
-517402,8968
-379575,13361
-75294,25950
427675,47300
139703,35935
28987,30816
56502,32104
6570,29728
198499,38508
209428,38970
87190,33549
-106167,24564
-652397,5735
-96713,24965
-529794,8635
-406507,12431
-386117,13131
-93665,25102
129925,35521
401121,46410
-606501,6723
-279306,17082
-737066,4167
-50007,27099
-256656,18009
253645,40852
204904,38788
-298128,16361
424221,47172
-360905,14031
-605884,6736
89954,33684
-411430,12226
64794,32499
-278026,17129
510040,49814
-115604,24114
131022,35573
-41015,27514
-513656,9053
300148,42719
387577,45918
-101360,24772
277144,41835
253212,40830
228606,39780
31851,30959
-218460,19569
-487764,9789
62216,32370
-632606,6151
-327301,15249
-177460,21366
446527,47894
-544968,8240
-83821,25564
353039,44684
-60111,26641
-294894,16482
-283594,16933
296590,42597
-126997,23607
-187816,20886
263738,41294
437046,47591
-406497,12432
-357403,14162
78817,33165
-565260,7707
-6164,29134
325966,43665
-458776,10669
-182884,21123
-17920,28626
412410,46793
-1194145,540
41164,31395
-330037,15147
-1120957,772
135726,35770
-450310,10930
504871,49673
241381,40314
-486582,9826
-170409,21653
382014,45711
84722,33437
-85912,25475
7143,29757
-246135,18451
-377500,13432
289754,42336
405013,46525
-124264,23719
-136975,23176
-843825,2760
-391093,12939
-116180,24089
-127262,23591
-603574,6791
424043,47165
364447,45071
-239746,18723
-491753,9652
-529605,8640
-607403,6704
-24612,28312
-148442,22678
212728,39097
-151931,22494
301392,42765
-314343,15713
393203,46128
-152245,22482
405297,46536
-690381,4980
-841126,2796
-43347,27406
-131884,23411
347861,44486
73711,32936
-244238,18536
-308375,15923
-205279,20089
483139,49046
-117835,24015
228867,39796
389065,45976
417891,46974
123252,35229
-745613,4015
96960,34030
-219475,19532
-15880,28720
405841,46553
-81912,25645
-715704,4523
27151,30733
-220845,19482
239439,40236
-21709,28460
20457,30421
-1087842,912
298706,42661
-1189215,561
-469917,10331
-360973,14029
-818491,3024
112949,34757
239966,40258
-1115234,792
312792,43212
161388,36884
71941,32852
-366191,13835
-68914,26237
167278,37140
117129,34937
-33272,27900
380893,45675
179310,37678
-338557,14842
-230436,19075
-333459,15016
-1110235,813
-176050,21426
-369983,13714
-110282,24365
-579698,7359
147485,36287
-541662,8324
-669361,5394
-580891,7338
444117,47810
-915128,2042
-810,29387
-526586,8736
-489276,9732
-771815,3621
-358557,14126
360305,44922
-644370,5910
176375,37548
357595,44828
-160333,22114
-859179,2610
-79123,25783
72779,32889
193293,38268
-838547,2821
-368098,13769
391732,46065
358765,44867
-340094,14789
284879,42147
-110488,24352
102980,34320
-493032,9621
-480023,10031
-788196,3393
342225,44266
-708726,4635
186397,37976
-982520,1504
85826,33501
-450093,10936
257132,41019
288922,42301
436474,47575
-211718,19850
-288334,16743
-611653,6611
-352149,14354
194479,38316
-125393,23667
-386894,13090
-107263,24500
-131528,23421
385700,45849
-229828,19102
203042,38714
-419180,11947
-431397,11512
374997,45449
77785,33119
-689000,5003
-178499,21327
101830,34261
-367476,13791
381761,45700
224856,39624
-652294,5740
-123670,23739
291640,42399
267865,41453
124162,35269
43807,31536
-1111600,809
-539945,8372
-320324,15507
-50095,27091
331268,43874
-358641,14121
-499398,9432
-129400,23520
-825244,2964
-962983,1646
-215338,19713
-454816,10781
-214490,19750
-445194,11093
243119,40367
-294626,16498
256800,40998
267111,41419
-218891,19552
-352555,14339
73549,32926
353354,44695
-720504,4444
-162756,21998
63984,32455
-330420,15129
-69278,26224
-356115,14208
472970,48725
350627,44603
19623,30384
-271336,17405
446332,47887
-148020,22691
-814141,3057
-121349,23848
-144027,22855
337754,44113
-13137,28841
-146253,22764
-560823,7826
118513,34990
-75383,25945
428321,47319
-354117,14282
-196618,20474
-125775,23656
-470648,10315
-878199,2401
-283487,16939
-183170,21113
275641,41766
-503215,9321
136258,35798
-203499,20172
317481,43375
350486,44596
149079,36367
-836446,2841
-422547,11840
74333,32970
-1050846,1077
-365928,13845
31037,30911
65075,32513
120538,35084
64022,32457
-752873,3909
268547,41474
-1051524,1068
272588,41645
322344,43535
-760721,3775
-532508,8575
-112129,24279
-233247,18973
32516,30986
-43973,27380
-138384,23116
-225829,19286
-186554,20939
-10191,28974
-576342,7442
-107534,24490
-725982,4340
358288,44855
-584854,7255
-537504,8441
259565,41119
-219090,19542
168682,37205
419517,47016
-353371,14315
126370,35375
-221358,19470
362883,45009
10655,29942
-248785,18333
-488737,9752
-234330,18938
-752966,3906
-311471,15820
362047,44976
290048,42351
81627,33297
267132,41420
168072,37175
-1531324,75
103408,34335
205475,38810
234842,40041
-141514,22966
337147,44085
202481,38686
-170964,21633
-470271,10323
-144910,22819
-158391,22198
-659741,5595
-319320,15542
-535,29400
-365630,13852
231989,39924
375693,45473
-538924,8402
-143135,22901
-460411,10623
515329,49966
30392,30884
438773,47647
446298,47885
192606,38232
-609190,6660
210445,39008
-388081,13049
-122871,23787
88772,33625
-23745,28365
-83293,25580
-151238,22535
-39703,27591
444470,47821
290279,42361
494374,49366
-188673,20856
-23080,28398
189145,38083
-63933,26472
-431995,11498
48520,31739
143342,36090
-1008015,1313
-601678,6827
432816,47468
369861,45259
440573,47704
396449,46250
-741395,4092
-122380,23806
-723659,4394
484728,49101
-657142,5643
-148947,22648
176839,37568
-94846,25043
514879,49951
-201209,20280
379750,45627
354107,44730
-304246,16104
262956,41258
214492,39179
-106609,24547
414945,46878
357996,44848
388515,45950
103926,34364
-141569,22964
311846,43179
-1001842,1360
57113,32139
-119055,23942
-119727,23915
-298690,16340
510729,49828
-258915,17923
57154,32143
66577,32570
459614,48311
-427345,11659
-1275013,350
-1227912,456
-192193,20706
26944,30722
273615,41683
-157634,22237
-799062,3260
-471923,10272
210890,39021
245269,40468
424330,47173
-89866,25281
-68674,26248
-405264,12479
-1079634,943
-265290,17637
342945,44294
-431333,11517
-529225,8647
-314594,15710
-230196,19086
-134405,23289
-843285,2769
149480,36379
-578498,7381
-410292,12270
-20735,28499
298150,42646
-265355,17632
68040,32650
-750110,3949
-240190,18700
-522392,8846
-165405,21876
-543739,8270
478255,48895
-256365,18020
154004,36560
-164708,21906
-566819,7670
-176426,21410
-419492,11935
